"HEALTH","sample","fpl","SWB_1","SWB_2","SWB_3","FWBscore","FWB1_1","FWB1_2","FWB1_4","FWB1_5","FWB1_6","FWB2_2","FWB2_3","FWB2_4","FSscore","FS1_2","FS1_3"
"1",1,3,7,7,7,52,3,3,4,3,3,3,2,3,57,4,4
"1",1,3,6,5,7,30,1,1,1,5,5,3,2,4,29,1,3
"1",2,3,7,7,7,84,5,5,5,1,5,5,1,1,43,1,1
"1",1,3,4,4,5,55,3,3,3,3,3,3,1,3,45,3,4
"1",1,2,6,6,4,57,2,3,2,3,2,2,2,2,52,2,4
"1",1,3,7,1,6,63,3,3,4,2,3,5,1,2,48,4,3
"1",1,3,6,7,7,34,3,5,5,4,4,4,5,5,57,4,5
"1",1,3,7,7,7,79,4,4,4,1,3,5,1,1,85,5,5
"1",1,3,4,3,4,24,1,3,1,5,5,1,2,5,45,3,2
"1",1,3,6,5,5,61,4,3,3,2,3,4,1,2,48,4,3
"1",3,2,3,6,6,48,4,3,4,3,4,3,3,3,57,4,4
"1",1,3,5,5,6,44,2,3,2,4,5,1,2,4,45,3,3
"1",1,3,4,5,5,47,2,3,3,3,4,3,2,4,42,2,2
"1",1,3,6,7,4,48,2,3,3,4,3,2,2,3,43,2,2
"1",1,2,7,7,7,70,4,5,4,3,1,5,1,1,57,4,4
"1",1,3,5,6,4,58,4,3,3,2,2,4,2,4,53,3,4
"1",1,3,5,5,6,57,3,3,3,2,4,4,1,2,42,3,3
"1",1,3,5,5,7,47,3,3,3,3,4,3,3,3,42,3,3
"1",1,3,5,6,6,59,3,4,3,3,2,4,1,2,51,4,3
"1",1,3,3,5,4,24,2,1,1,5,5,1,2,5,62,3,5
"1",1,3,5,5,5,53,3,3,3,3,3,5,2,3,49,3,3
"1",1,2,5,5,5,48,2,3,3,4,4,2,3,2,52,4,4
"1",1,3,7,7,7,79,4,4,4,1,2,4,1,1,40,5,2
"1",1,3,7,7,7,69,3,3,3,2,2,3,1,1,47,3,2
"1",1,3,7,7,3,58,3,5,3,4,4,5,2,2,76,5,5
"1",1,3,5,5,6,78,4,4,5,2,1,5,1,1,54,4,2
"1",1,3,7,7,7,51,3,4,4,3,4,2,2,3,41,4,3
"1",2,3,2,3,3,66,3,4,4,2,3,4,1,2,53,4,2
"1",2,3,7,7,7,58,4,4,4,3,3,4,1,3,42,3,4
"1",1,2,6,7,6,47,1,3,3,3,3,3,3,4,33,2,2
"1",2,3,4,5,5,41,2,2,3,5,5,2,3,3,44,3,4
"1",1,2,4,3,3,58,3,2,3,2,2,2,2,3,40,3,2
"1",1,3,5,6,6,64,3,4,3,2,3,3,1,2,46,4,3
"1",1,1,5,5,7,44,1,1,3,5,5,1,1,3,80,5,5
"1",2,3,7,7,6,72,4,3,4,1,3,5,1,3,63,5,3
"1",1,3,2,2,2,63,4,4,4,1,3,4,2,2,49,3,3
"1",2,3,7,6,6,69,3,4,4,1,2,4,1,2,71,3,5
"1",1,3,7,7,5,95,5,5,5,1,1,5,1,1,74,5,5
"1",1,1,7,7,7,70,5,5,5,1,1,4,2,1,72,2,5
"1",1,2,4,5,7,47,2,3,3,3,4,3,2,3,58,3,4
"1",1,3,7,7,7,67,3,4,3,1,3,5,1,2,75,5,5
"1",1,3,7,7,7,73,4,3,5,2,2,5,1,2,57,4,4
"1",1,3,5,5,4,54,3,3,4,3,3,3,2,2,52,4,4
"1",1,3,3,5,4,43,2,2,3,3,5,2,3,4,39,4,2
"1",1,3,6,6,7,55,4,3,3,2,4,3,2,2,45,3,3
"1",1,3,2,6,3,52,2,2,2,3,2,4,2,3,47,3,3
"1",1,3,6,6,4,85,5,5,4,1,2,5,1,1,43,4,2
"1",1,3,6,5,5,50,4,4,3,3,3,2,1,3,40,2,3
"1",1,2,6,7,7,54,3,4,3,3,3,4,2,2,60,4,4
"1",1,3,5,6,6,58,2,3,3,3,3,5,2,2,46,4,3
"1",1,3,5,6,7,57,3,3,3,2,3,4,2,3,56,4,3
"1",1,3,4,4,7,62,3,3,3,2,3,3,1,3,57,4,4
"1",1,3,5,5,6,78,4,4,3,1,3,5,1,1,47,4,3
"1",1,3,6,6,6,78,4,4,4,1,2,5,1,1,64,4,4
"1",1,2,3,7,7,52,3,4,3,3,2,3,3,3,50,4,4
"1",1,3,7,7,7,50,3,3,3,3,3,3,3,3,30,3,2
"1",1,3,5,7,7,53,3,3,3,4,3,5,2,3,46,3,3
"1",1,3,6,7,7,68,4,4,4,1,2,4,1,2,55,3,4
"1",1,3,6,6,4,47,2,2,3,3,4,3,3,3,39,2,2
"1",1,3,6,6,7,57,3,3,3,3,2,4,1,3,56,3,4
"1",1,3,6,6,7,68,4,5,4,2,2,5,1,2,51,5,3
