"HEALTH","sample","fpl","SWB_1","SWB_2","SWB_3","FWBscore","FWB1_1","FWB1_2","FWB1_4","FWB1_5","FWB1_6","FWB2_2","FWB2_3","FWB2_4","FSscore","FS1_2","FS1_3"
"1",1,3,6,6,6,67,3,3,4,1,4,4,2,2,51,4,4
"1",1,3,6,6,6,57,3,4,3,2,3,3,2,3,41,3,3
"1",1,3,7,7,7,71,5,5,5,2,3,5,1,2,60,5,4
"1",1,3,6,5,5,70,5,5,5,2,3,5,1,1,55,4,4
"1",3,2,6,6,7,51,2,3,3,3,5,3,2,3,49,3,4
"1",1,2,5,5,5,49,3,3,3,3,3,3,3,3,42,3,3
"1",1,3,5,6,6,60,3,3,4,2,2,3,2,2,61,4,4
"1",2,3,6,6,5,73,3,4,4,1,2,2,1,2,55,4,3
"1",1,3,7,7,6,61,3,4,4,5,1,4,1,3,65,5,5
"1",2,3,6,7,7,43,3,3,3,3,3,2,2,5,41,4,2
"1",1,1,4,6,5,51,2,3,3,3,4,2,2,3,43,3,3
"1",1,1,7,7,7,52,3,5,5,3,3,2,1,3,47,3,3
"1",2,3,3,3,1,39,2,3,2,5,5,5,4,4,50,4,3
"1",1,3,6,6,6,59,4,4,4,2,2,4,2,3,63,5,4
"1",1,3,4,4,6,54,2,3,4,2,3,4,2,3,52,4,2
"1",1,2,6,6,5,61,3,3,3,3,1,4,2,3,51,4,4
"1",1,3,7,5,5,47,2,3,2,3,5,3,3,3,37,3,2
"1",1,3,6,6,6,65,4,3,3,1,3,4,2,2,54,3,3
"1",1,3,7,7,7,82,5,5,5,1,1,4,1,2,56,5,4
"1",1,3,7,7,7,65,2,5,4,2,3,5,1,2,60,4,4
"1",1,3,6,6,5,50,1,3,3,3,3,3,3,3,56,4,2
"1",1,3,7,7,7,73,5,4,4,1,2,5,2,1,68,5,4
"1",1,3,3,4,6,41,2,3,2,5,5,3,3,4,41,3,2
"1",1,3,5,6,5,49,3,2,3,2,4,4,2,3,47,3,4
"1",1,3,4,5,6,53,4,3,3,2,4,3,2,3,35,2,3
"1",1,1,4,6,6,23,1,1,1,5,5,1,5,5,58,1,5
"1",1,3,6,6,4,50,3,3,3,3,3,3,2,3,56,4,4
"1",1,3,7,7,4,86,5,5,5,1,1,5,1,2,73,5,5
"1",1,1,7,6,7,71,3,3,4,2,1,5,1,1,44,2,3
"1",1,3,5,5,6,43,2,2,3,4,3,1,5,3,49,2,2
"1",1,3,6,6,6,53,3,3,5,2,3,4,2,3,55,4,3
"1",2,3,7,7,7,95,5,5,5,1,1,5,1,1,59,4,4
"1",1,2,6,7,7,45,2,2,3,4,4,2,3,4,50,4,3
"1",3,2,6,5,6,46,3,4,2,4,3,2,3,2,43,2,4
"1",1,1,7,7,7,40,5,5,5,5,5,3,3,3,73,5,5
"1",2,3,6,6,7,60,4,3,3,1,3,4,2,2,48,3,3
"1",1,3,7,7,7,69,4,4,3,2,2,5,1,1,60,4,4
"1",1,1,6,6,4,38,3,3,5,5,5,4,3,4,47,3,4
"1",1,3,7,7,7,70,5,5,5,1,1,4,2,3,85,5,5
"1",1,3,7,6,4,60,3,3,3,2,2,3,1,3,43,2,2
"1",1,3,5,4,5,63,4,3,3,2,2,4,1,2,48,3,3
"1",1,3,5,5,5,69,4,4,4,2,3,4,1,3,54,4,3
"1",1,3,7,6,4,44,3,3,5,5,4,4,3,3,51,2,4
"1",2,3,5,5,5,58,3,3,3,3,3,3,2,2,41,3,3
"1",1,3,4,4,5,51,3,3,3,4,3,3,1,3,57,4,4
"1",1,3,7,7,7,86,5,5,5,1,1,5,1,1,85,5,5
"1",1,3,5,5,5,52,3,3,3,3,4,3,3,3,35,2,3
"1",1,3,7,7,7,69,4,4,4,1,2,4,2,2,62,5,4
"1",2,3,7,7,7,95,5,5,5,1,1,5,1,1,85,5,5
"1",1,3,5,6,7,57,3,3,3,2,3,4,2,3,56,4,3
"1",1,3,2,2,5,33,1,2,1,5,5,2,4,4,54,4,3
"1",1,3,7,7,7,66,4,3,3,3,2,4,2,2,53,4,4
"1",3,3,7,7,7,55,4,4,4,4,2,3,3,2,51,4,4
"1",1,2,5,5,5,53,3,3,3,3,3,3,2,3,41,3,2
"1",1,3,6,6,7,79,5,5,5,1,3,5,1,1,68,5,5
"1",1,3,7,7,7,50,2,3,3,3,3,2,2,4,44,3,4
"1",1,3,4,6,6,50,1,2,3,4,4,3,2,3,39,3,2
"1",1,3,7,7,7,54,1,2,2,3,3,2,2,3,55,4,4
"1",1,3,6,5,5,66,5,3,5,1,3,4,1,3,60,4,3
"1",1,3,4,5,4,50,1,3,2,3,4,3,2,4,38,3,2
"1",2,3,7,7,5,65,3,3,4,1,1,3,1,2,41,3,3
